Id,name,url,memo,image
1,簡単トマトサラダ,https://www.sirogohan.com/recipe/tomatosara/,後日作るときのためのメモを残せます。,./public/images/1.jpeg
2,家庭的な基本のハンバーグのレシピ,https://www.sirogohan.com/recipe/hanba-gu/,後日作るときのためのメモを残せます。,./public/images/2.jpeg
3,基本のポテトサラダのコツとレシピ,https://www.sirogohan.com/recipe/potates/,後日作るときのためのメモを残せます。,./public/images/3.jpeg
4,ゴーヤチャンプルーのレシピ,https://www.sirogohan.com/recipe/go-yachan/,後日作るときのためのメモを残せます。,./public/images/4.jpeg
5,定番の味！鶏の唐揚げのレシピ作り方,https://www.sirogohan.com/recipe/karaage/,後日作るときのためのメモを残せます。,./public/images/5.jpeg
6,とうもろこしご飯（炊き込みご飯）のレシピ,https://www.sirogohan.com/recipe/morokosigohan/,後日作るときのためのメモを残せます。,./public/images/6.jpeg
7,ひじきご飯（炊き込みご飯）のレシピ,https://www.sirogohan.com/recipe/hijikigohan/,後日作るときのためのメモを残せます。,./public/images/7.jpeg
8,だしなし簡単！肉じゃがの基本レシピ作り方,https://www.sirogohan.com/recipe/nikujaga/,後日作るときのためのメモを残せます。,./public/images/8.jpeg
9,シンプルなにんじんサラダのレシピ,https://www.sirogohan.com/recipe/ninjins/,後日作るときのためのメモを残せます。,./public/images/9.jpeg
10,鰯（いわし）の生姜煮・煮付けのレシピ,https://www.sirogohan.com/recipe/iwasini/,後日作るときのためのメモを残せます。,./public/images/10.jpeg
11,フルーツポンチのレシピ,https://www.sirogohan.com/recipe/hurupon/,後日作るときのためのメモを残せます。,./public/images/11.jpeg
12,冷やし中華の作り方,https://www.sirogohan.com/recipe/hiyasichuuka/,後日作るときのためのメモを残せます。,./public/images/12.jpeg
13,半熟煮卵のレシピ（覚えやすい黄金比のたれで）,https://www.sirogohan.com/recipe/nitamago/,後日作るときのためのメモを残せます。,./public/images/13.jpeg
14,さば缶で手軽に！さば大根の煮物のレシピ/作り方,https://www.sirogohan.com/recipe/sabadaikon/,後日作るときのためのメモを残せます。,./public/images/14.jpeg
15,基本のメンチカツのレシピ,https://www.sirogohan.com/recipe/mentikatu/,後日作るときのためのメモを残せます。,./public/images/15.jpeg
16,基本のオムライスのレシピ,https://www.sirogohan.com/recipe/omuraisukihon/,後日作るときのためのメモを残せます。,./public/images/16.jpeg
17,いちばん簡単な酢の物のレシピ,https://www.sirogohan.com/recipe/sunomono/,後日作るときのためのメモを残せます。,./public/images/17.jpeg
18,簡単！やみつきキャベツのレシピ,https://www.sirogohan.com/recipe/kyabeyami/,後日作るときのためのメモを残せます。,./public/images/18.jpeg
19,おからの煮物のレシピ,https://www.sirogohan.com/recipe/okara/,後日作るときのためのメモを残せます。,./public/images/19.jpeg
20,かぼちゃのポタージュ（スープ）のレシピ,https://www.sirogohan.com/recipe/kabopota/,後日作るときのためのメモを残せます。,./public/images/20.jpeg
